molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_value,target_chembl_id,organism,reference_class,canonical_smiles_rdkit,scaffold_smiles,mw,logp,hba,hbd,valid_structure,pchembl_numeric
CHEMBL120783,N#Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,6.5,IC50,320.0,CHEMBL2329,C. albicans,DHFR,N#Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,c1ccc(Sc2cccc3ncncc23)cc1,293.355,2.81708,6,2,True,6.5
CHEMBL220937,COc1cc(C(C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,6.5,IC50,320.0,CHEMBL2329,C. albicans,DHFR,COc1cc(C(C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,358.39800000000014,1.7144199999999998,8,2,True,6.5
CHEMBL573811,COc1cc([C@@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,6.5,IC50,320.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,358.39800000000014,1.7144199999999998,8,2,True,6.5
CHEMBL575410,COc1cc([C@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,6.5,IC50,320.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,358.39800000000014,1.7144199999999998,8,2,True,6.5
CHEMBL425506,COc1cc(Cc2cnc(N)nc2N)ccc1OCCNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,6.47,IC50,340.0,CHEMBL2329,C. albicans,DHFR,COc1cc(Cc2cnc(N)nc2N)ccc1OCCNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,O=S(=O)(c1ccccc1)c1ccc(NCCOc2ccc(Cc3cncnc3)cc2)cc1,520.6150000000004,3.1463,10,4,True,6.47
CHEMBL485960,COc1ccc(OC)c(CC#Cc2c(C)nc(N)nc2N)c1,6.39,IC50,410.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c(CC#Cc2c(C)nc(N)nc2N)c1,C(#Cc1cncnc1)Cc1ccccc1,298.346,1.5608199999999997,6,2,True,6.39
CHEMBL426768,Nc1ncc(OCc2cccc3ccccc23)c(N)n1,6.37,IC50,430.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2cccc3ccccc23)c(N)n1,c1ccc2c(COc3cncnc3)cccc2c1,266.304,2.3732,5,2,True,6.37
CHEMBL368759,Cc1ccc(S(=O)(=O)NCCCOc2ccc(COc3cnc(N)nc3N)cc2)cc1,6.36,IC50,435.0,CHEMBL2329,C. albicans,DHFR,Cc1ccc(S(=O)(=O)NCCCOc2ccc(COc3cnc(N)nc3N)cc2)cc1,O=S(=O)(NCCCOc1ccc(COc2cncnc2)cc1)c1ccccc1,443.52900000000017,2.2758199999999995,8,3,True,6.36
CHEMBL58917,Nc1ncc(Cc2ccc3c(c2)CCCN3)c(N)n1,6.35,IC50,450.0,CHEMBL2627,E. coli,DHFR,Nc1ncc(Cc2ccc3c(c2)CCCN3)c(N)n1,c1ncc(Cc2ccc3c(c2)CCCN3)cn1,255.32499999999996,1.5898999999999999,5,3,True,6.35
CHEMBL413110,Nc1nc(N)c2c(Sc3ccc(C(F)(F)F)cc3)cccc2n1,6.32,IC50,480.0,CHEMBL2329,C. albicans,DHFR,Nc1nc(N)c2c(Sc3ccc(C(F)(F)F)cc3)cccc2n1,c1ccc(Sc2cccc3ncncc23)cc1,336.342,3.964200000000001,5,2,True,6.32
CHEMBL177408,Nc1ncc(Cc2ccc(Br)c3ccccc23)c(N)n1,6.31,IC50,490.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(Cc2ccc(Br)c3ccccc23)c(N)n1,c1ccc2c(Cc3cncnc3)cccc2c1,329.2010000000001,3.147500000000001,4,2,True,6.31
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,6.3,IC50,500.0,CHEMBL2627,E. coli,DHFR,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,c1ccc(Cc2cncnc2)cc1,290.32300000000004,1.2575999999999998,7,2,True,6.3
CHEMBL367220,COc1cc(COc2cnc(N)nc2N)ccc1OCCCNS(=O)(=O)c1ccc(C)cc1,6.27,IC50,538.0,CHEMBL2329,C. albicans,DHFR,COc1cc(COc2cnc(N)nc2N)ccc1OCCCNS(=O)(=O)c1ccc(C)cc1,O=S(=O)(NCCCOc1ccc(COc2cncnc2)cc1)c1ccccc1,473.55500000000023,2.284420000000001,9,3,True,6.27
CHEMBL584390,COc1ccc(OC)c(C(C#Cc2c(C)nc(N)nc2N)OC)c1,6.26,IC50,550.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c(C(C#Cc2c(C)nc(N)nc2N)OC)c1,C(#Cc1cncnc1)Cc1ccccc1,328.37200000000007,1.7058199999999997,7,2,True,6.26
CHEMBL575627,COc1ccc(OC)c([C@@H](C#Cc2c(C)nc(N)nc2N)OC)c1,6.26,IC50,550.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c([C@@H](C#Cc2c(C)nc(N)nc2N)OC)c1,C(#Cc1cncnc1)Cc1ccccc1,328.37200000000007,1.7058199999999997,7,2,True,6.26
CHEMBL585363,COc1ccc(OC)c([C@H](C#Cc2c(C)nc(N)nc2N)OC)c1,6.26,IC50,550.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c([C@H](C#Cc2c(C)nc(N)nc2N)OC)c1,C(#Cc1cncnc1)Cc1ccccc1,328.37200000000007,1.7058199999999997,7,2,True,6.26
CHEMBL366989,Nc1ncc(Cc2cccc3ccccc23)c(N)n1,6.24,IC50,580.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(Cc2cccc3ccccc23)c(N)n1,c1ccc2c(Cc3cncnc3)cccc2c1,250.305,2.3850000000000002,4,2,True,6.24
CHEMBL175017,Cc1ccc(S(=O)(=O)NCCCCOc2ccc(Cc3cnc(N)nc3N)cc2)cc1,6.24,IC50,581.0,CHEMBL2329,C. albicans,DHFR,Cc1ccc(S(=O)(=O)NCCCCOc2ccc(Cc3cnc(N)nc3N)cc2)cc1,O=S(=O)(NCCCCOc1ccc(Cc2cncnc2)cc1)c1ccccc1,441.5570000000002,2.6777200000000008,7,3,True,6.24
CHEMBL177125,Nc1ncc(Cc2ccc3ccccc3c2)c(N)n1,6.24,IC50,570.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(Cc2ccc3ccccc3c2)c(N)n1,c1ccc2cc(Cc3cncnc3)ccc2c1,250.305,2.3850000000000002,4,2,True,6.24
CHEMBL174954,Nc1ncc(OCc2ccc(OCCCN3C(=O)c4ccccc4C3=O)cc2)c(N)n1,6.21,IC50,619.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2ccc(OCCCN3C(=O)c4ccccc4C3=O)cc2)c(N)n1,O=C1c2ccccc2C(=O)N1CCCOc1ccc(COc2cncnc2)cc1,419.4410000000001,2.2851,8,2,True,6.21
CHEMBL19414,Nc1ncc(Cc2ccc([N+](=O)[O-])cc2)c(N)n1,6.2,Ki,630.96,CHEMBL2627,E. coli,DHFR,Nc1ncc(Cc2ccc([N+](=O)[O-])cc2)c(N)n1,c1ccc(Cc2cncnc2)cc1,245.242,1.1400000000000001,6,2,True,6.2
CHEMBL426950,CC(C)(C)c1ccc(COc2cnc(N)nc2N)cc1,6.18,IC50,660.0,CHEMBL2329,C. albicans,DHFR,CC(C)(C)c1ccc(COc2cnc(N)nc2N)cc1,c1ccc(COc2cncnc2)cc1,272.352,2.5175,5,2,True,6.18
CHEMBL175752,Nc1ncc(OCc2ccccc2Cl)c(N)n1,6.14,IC50,730.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2ccccc2Cl)c(N)n1,c1ccc(COc2cncnc2)cc1,250.689,1.8734,5,2,True,6.14
CHEMBL573880,COc1ccc(OC)c(C(O)C#Cc2c(C)nc(N)nc2N)c1,6.14,IC50,730.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c(C(O)C#Cc2c(C)nc(N)nc2N)c1,C(#Cc1cncnc1)Cc1ccccc1,314.345,1.05172,7,3,True,6.14
CHEMBL584385,COc1ccc(OC)c([C@@H](O)C#Cc2c(C)nc(N)nc2N)c1,6.14,IC50,730.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c([C@@H](O)C#Cc2c(C)nc(N)nc2N)c1,C(#Cc1cncnc1)Cc1ccccc1,314.345,1.05172,7,3,True,6.14
CHEMBL574288,COc1ccc(OC)c([C@H](O)C#Cc2c(C)nc(N)nc2N)c1,6.14,IC50,730.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c([C@H](O)C#Cc2c(C)nc(N)nc2N)c1,C(#Cc1cncnc1)Cc1ccccc1,314.345,1.05172,7,3,True,6.14
CHEMBL219624,COc1cc(CC#Cc2cnc(N)nc2N)cc(OC)c1OC,6.09,IC50,820.0,CHEMBL2329,C. albicans,DHFR,COc1cc(CC#Cc2cnc(N)nc2N)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,314.3450000000001,1.261,7,2,True,6.09
CHEMBL368065,COc1cc(COc2cnc(N)nc2N)ccc1OCCCc1ccccc1,6.07,IC50,844.0,CHEMBL2329,C. albicans,DHFR,COc1cc(COc2cnc(N)nc2N)ccc1OCCCc1ccccc1,c1ccc(CCCOc2ccc(COc3cncnc3)cc2)cc1,380.44800000000015,3.2402000000000015,7,2,True,6.07
CHEMBL176217,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCNc1ccc(N(C)C)cc1,6.01,IC50,970.0,CHEMBL2329,C. albicans,DHFR,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCNc1ccc(N(C)C)cc1,c1ccc(NCCCOc2ccc(Cc3cncnc3)cc2)cc1,452.55900000000025,3.1960000000000006,9,3,True,6.01
CHEMBL221172,COc1cc(C(O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.01,IC50,980.0,CHEMBL2329,C. albicans,DHFR,COc1cc(C(O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.06032,8,3,True,6.01
CHEMBL575626,COc1cc([C@@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.01,IC50,980.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.06032,8,3,True,6.01
CHEMBL582881,COc1cc([C@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.01,IC50,980.0,CHEMBL2329,C. albicans,DHFR,COc1cc([C@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,C(#Cc1cncnc1)Cc1ccccc1,344.3710000000001,1.06032,8,3,True,6.01
CHEMBL177819,COc1ccc(CCc2cnc(N)nc2N)cc1OC,6.0,IC50,1000.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(CCc2cnc(N)nc2N)cc1OC,c1ccc(CCc2cncnc2)cc1,274.324,1.4434,6,2,True,6.0
CHEMBL177230,Nc1ncc(CNc2ccccc2)c(N)n1,5.96,IC50,1090.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(CNc2ccccc2)c(N)n1,c1ccc(NCc2cncnc2)cc1,215.26000000000002,1.2530999999999999,5,3,True,5.96
CHEMBL177511,COc1ccc(CNc2cnc(N)nc2N)cc1OC,5.95,IC50,1120.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(CNc2cnc(N)nc2N)cc1OC,c1ccc(CNc2cncnc2)cc1,275.312,1.2702999999999995,7,3,True,5.95
CHEMBL362254,Nc1ncc(OCc2ccc(Cl)c(Cl)c2)c(N)n1,5.91,IC50,1220.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2ccc(Cl)c(Cl)c2)c(N)n1,c1ccc(COc2cncnc2)cc1,285.134,2.5267999999999997,5,2,True,5.91
CHEMBL180585,Nc1ncc(OCc2ccccc2)c(N)n1,5.91,IC50,1240.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(OCc2ccccc2)c(N)n1,c1ccc(COc2cncnc2)cc1,216.244,1.22,5,2,True,5.91
CHEMBL175577,Cc1nc(N)nc(N)c1OCc1ccc(Cl)c(Cl)c1,5.87,IC50,1340.0,CHEMBL2329,C. albicans,DHFR,Cc1nc(N)nc(N)c1OCc1ccc(Cl)c(Cl)c1,c1ccc(COc2cncnc2)cc1,299.161,2.8352200000000005,5,2,True,5.87
CHEMBL177796,Nc1ncc(NCc2cccc3ccccc23)c(N)n1,5.86,IC50,1390.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(NCc2cccc3ccccc23)c(N)n1,c1ccc2c(CNc3cncnc3)cccc2c1,265.32,2.4063,5,3,True,5.86
CHEMBL521055,COc1ccc(OC)c(CC#Cc2cnc(N)nc2N)c1,5.85,IC50,1400.0,CHEMBL2329,C. albicans,DHFR,COc1ccc(OC)c(CC#Cc2cnc(N)nc2N)c1,C(#Cc1cncnc1)Cc1ccccc1,284.31899999999996,1.2524,6,2,True,5.85
CHEMBL174633,Cc1nc(N)nc(N)c1Cc1ccccc1,5.73,IC50,1850.0,CHEMBL2329,C. albicans,DHFR,Cc1nc(N)nc(N)c1Cc1ccccc1,c1ccc(Cc2cncnc2)cc1,214.27200000000002,1.5402200000000001,4,2,True,5.73
CHEMBL177862,Nc1ncc(NCc2ccc3ccccc3c2)c(N)n1,5.7,IC50,1980.0,CHEMBL2329,C. albicans,DHFR,Nc1ncc(NCc2ccc3ccccc3c2)c(N)n1,c1ccc2cc(CNc3cncnc3)ccc2c1,265.32,2.4063,5,3,True,5.7
