model_id,model_name,model_type,aro_accession,aro_name,target_resistance_family,drug_classes,resistance_mechanisms,reference_taxa,n_model_sequences,has_snp_data,source,source_url,card_version
2,CblA-1,protein homolog model,3002999,CblA-1,Beta-lactamase,cephalosporin,antibiotic inactivation,mixed culture bacterium AX_gF3SD01_15,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4,SHV-52,protein homolog model,3001109,SHV-52,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
5,dfrF,protein homolog model,3002867,dfrF,Beta-lactamase,diaminopyrimidine antibiotic,antibiotic target replacement,Enterococcus faecalis,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
7,CTX-M-130,protein homolog model,3001989,CTX-M-130,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
8,NDM-6,protein homolog model,3002356,NDM-6,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
9,ACT-35,protein homolog model,3001855,ACT-35,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
10,CARB-5,protein homolog model,3002244,CARB-5,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Acinetobacter calcoaceticus subsp. anitratus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
11,Erm(34),protein homolog model,3000600,Erm(34),Beta-lactamase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Alkalihalobacillus clausii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
12,TEM-126,protein homolog model,3000988,TEM-126,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
13,LRA-12,protein homolog model,3002511,LRA-12,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,uncultured bacterium BLR12,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
14,TEM-72,protein homolog model,3000938,TEM-72,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Morganella morganii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
15,TEM-59,protein homolog model,3000928,TEM-59,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
16,KPC-10,protein homolog model,3002320,KPC-10,Beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
18,OXA-212,protein homolog model,3001711,OXA-212,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter johnsonii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
19,IMP-2,protein homolog model,3002193,IMP-2,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
20,CMY-1,protein homolog model,3002012,CMY-1,Beta-lactamase,cephalosporin,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
21,OXA-329,protein homolog model,3001517,OXA-329,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter calcoaceticus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
22,ACT-10,protein homolog model,3001832,ACT-10,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Serratia marcescens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
23,OXA-371,protein homolog model,3001557,OXA-371,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
24,fusB,protein homolog model,3003552,fusB,Beta-lactamase,fusidane antibiotic,antibiotic target protection,Staphylococcus aureus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
25,CTX-M-121,protein homolog model,3001980,CTX-M-121,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
26,VEB-3,protein homolog model,3002372,VEB-3,Beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
27,lnuA,protein homolog model,3002835,lnuA,Beta-lactamase,lincosamide antibiotic,antibiotic inactivation,Staphylococcus haemolyticus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
28,OXA-45,protein homolog model,3001794,OXA-45,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
30,OXA-226,protein homolog model,3001800,OXA-226,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
31,CTX-M-155,protein homolog model,3003163,CTX-M-155,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
32,DHA-15,protein homolog model,3002146,DHA-15,Beta-lactamase,cephalosporin,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
33,msrE,protein homolog model,3003109,msrE,Beta-lactamase,macrolide antibiotic;streptogramin antibiotic,antibiotic target protection,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
34,OXY-6-3,protein homolog model,3002415,OXY-6-3,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
35,FosA2,protein homolog model,3002804,FosA2,Beta-lactamase,phosphonic acid antibiotic,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
38,APH(3')-Va,protein homolog model,3002649,APH(3')-Va,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Streptomyces fradiae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
39,AAC(3)-Ia,protein homolog model,3002528,AAC(3)-Ia,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
40,QnrB58,protein homolog model,3002771,QnrB58,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
41,rmtH,protein homolog model,3003198,rmtH,Beta-lactamase,aminoglycoside antibiotic,antibiotic target alteration,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
42,OXY-6-1,protein homolog model,3002413,OXY-6-1,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
44,golS,protein homolog model,3000504,golS,Beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol antibiotic,antibiotic efflux,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
45,mdtP,protein homolog model,3003550,mdtP,Beta-lactamase,disinfecting agents and antiseptics;nucleoside antibiotic,antibiotic efflux,Escherichia coli str. K-12 substr. W3110,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
46,CMY-114,protein homolog model,3002125,CMY-114,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
47,OXA-60,protein homolog model,3001808,OXA-60,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Ralstonia pickettii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
48,OXA-90,protein homolog model,3001650,OXA-90,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
50,SME-2,protein homolog model,3002380,SME-2,Beta-lactamase,carbapenem,antibiotic inactivation,Serratia marcescens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
51,AAC(3)-IIIc,protein homolog model,3002538,AAC(3)-IIIc,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
52,OXY-2-2,protein homolog model,3002397,OXY-2-2,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
53,MOX-5,protein homolog model,3002188,MOX-5,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Aeromonas caviae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
54,TEM-34,protein homolog model,3000904,TEM-34,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Haemophilus parainfluenzae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
55,OXA-69,protein homolog model,3001617,OXA-69,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii AYE,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
56,TEM-7,protein homolog model,3000879,TEM-7,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
57,SHV-24,protein homolog model,3001082,SHV-24,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
58,QnrB47,protein homolog model,3002762,QnrB47,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
59,OXA-256,protein homolog model,3001502,OXA-256,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
60,QnrS6,protein homolog model,3002795,QnrS6,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Aeromonas hydrophila,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
61,OXA-330,protein homolog model,3001518,OXA-330,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter calcoaceticus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
62,CMY-42,protein homolog model,3002053,CMY-42,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
63,AAC(6')-Ib,protein homolog model,3002546,AAC(6')-Ib,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
64,CMY-70,protein homolog model,3002083,CMY-70,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter braakii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
65,GES-21,protein homolog model,3002350,GES-21,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,uncultured bacterium,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
66,SHV-41,protein homolog model,3001099,SHV-41,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
67,OXA-391,protein homolog model,3001577,OXA-391,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
68,TEM-132,protein homolog model,3000996,TEM-132,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
69,aadA23,protein homolog model,3002620,aadA23,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Salmonella enterica subsp. enterica serovar Agona,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
70,NDM-10,protein homolog model,3002360,NDM-10,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae subsp. pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
71,QnrB66,protein homolog model,3002778,QnrB66,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
72,SHV-42,protein homolog model,3001100,SHV-42,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
73,OXA-35,protein homolog model,3001429,OXA-35,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
74,SHV-18,protein homolog model,3001076,SHV-18,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
75,fusH,protein homolog model,3003026,fusH,Beta-lactamase,fusidane antibiotic,antibiotic inactivation,Streptomyces lividans,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
76,SHV-79,protein homolog model,3001133,SHV-79,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
77,TEM-47,protein homolog model,3000916,TEM-47,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
78,TEM-16,protein homolog model,3000887,TEM-16,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
79,VIM-37,protein homolog model,3002307,VIM-37,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
80,ACT-29,protein homolog model,3001849,ACT-29,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter asburiae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
81,FOX-3,protein homolog model,3002157,FOX-3,Beta-lactamase,cephalosporin,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
82,PER-4,protein homolog model,3002366,PER-4,Beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Proteus vulgaris,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
84,GIM-1,protein homolog model,3000845,GIM-1,Beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
85,IMP-42,protein homolog model,3002233,IMP-42,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Acinetobacter soli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
86,TEM-102,protein homolog model,3000965,TEM-102,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Plasmid pWW100,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
87,TEM-116,protein homolog model,3000979,TEM-116,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Staphylococcus aureus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
88,CMY-55,protein homolog model,3002066,CMY-55,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
91,gadX,protein homolog model,3000508,gadX,Beta-lactamase,fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam,antibiotic efflux,Escherichia coli str. K-12 substr. W3110,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
92,CTX-M-42,protein homolog model,3001904,CTX-M-42,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
93,SHV-105,protein homolog model,3001154,SHV-105,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
94,CMY-79,protein homolog model,3002092,CMY-79,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
95,CMY-56,protein homolog model,3002067,CMY-56,Beta-lactamase,cephalosporin,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
96,OXA-426,protein homolog model,3003149,OXA-426,Beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
98,CMY-48,protein homolog model,3002059,CMY-48,Beta-lactamase,cephalosporin,antibiotic inactivation,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
99,QnrB38,protein homolog model,3002753,QnrB38,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
101,TEM-109,protein homolog model,3000972,TEM-109,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
102,TLA-2,protein homolog model,3003203,TLA-2,Beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,uncultured bacterium,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
103,SHV-12,protein homolog model,3001071,SHV-12,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
104,OXA-61,protein homolog model,3001773,OXA-61,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Campylobacter jejuni,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
105,CARB-4,protein homolog model,3002243,CARB-4,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
106,catB9,protein homolog model,3002681,catB9,Beta-lactamase,phenicol antibiotic,antibiotic inactivation,Vibrio cholerae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
107,TEM-43,protein homolog model,3000912,TEM-43,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
108,PDC-8,protein homolog model,3002507,PDC-8,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
109,ErmE,protein homolog model,3000326,ErmE,Beta-lactamase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Saccharopolyspora erythraea NRRL 2338,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
110,AAC(6')-Iu,protein homolog model,3002565,AAC(6')-Iu,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Acinetobacter dispersus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
113,VEB-5,protein homolog model,3002375,VEB-5,Beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
114,dfrA13,protein homolog model,3003012,dfrA13,Beta-lactamase,diaminopyrimidine antibiotic,antibiotic target replacement,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
115,TEM-87,protein homolog model,3000954,TEM-87,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Proteus mirabilis,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
116,QnrB18,protein homolog model,3002733,QnrB18,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
118,LRA-9,protein homolog model,3002488,LRA-9,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,uncultured bacterium BLR9,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
119,VIM-12,protein homolog model,3002282,VIM-12,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
120,aadA4,protein homolog model,3002604,aadA4,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
121,mdtF,protein homolog model,3000796,mdtF,Beta-lactamase,fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam,antibiotic efflux,Escherichia coli str. K-12 substr. MG1655,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
122,VIM-34,protein homolog model,3002304,VIM-34,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
123,SHV-64,protein homolog model,3001119,SHV-64,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
124,IND-7,protein homolog model,3002263,IND-7,Beta-lactamase,carbapenem,antibiotic inactivation,Chryseobacterium indologenes,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
125,SHV-182,protein homolog model,3001364,SHV-182,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
126,TEM-183,protein homolog model,3001045,TEM-183,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
127,clbB,protein homolog model,3002815,clbB,Beta-lactamase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,Brevibacillus brevis NBRC 100599,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
128,srmB,protein homolog model,3002828,srmB,Beta-lactamase,macrolide antibiotic,antibiotic target protection,Streptomyces ambofaciens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
129,FosX,protein homolog model,3000198,FosX,Beta-lactamase,phosphonic acid antibiotic,antibiotic inactivation,Listeria monocytogenes,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
130,CTX-M-112,protein homolog model,3001972,CTX-M-112,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Shigella sp. SH257,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
131,CTX-M-50,protein homolog model,3001912,CTX-M-50,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
132,TEM-198,protein homolog model,3001057,TEM-198,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
133,arr-8,protein homolog model,3002853,arr-8,Beta-lactamase,rifamycin antibiotic,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
134,rgt1438,protein homolog model,3002883,rgt1438,Beta-lactamase,rifamycin antibiotic,antibiotic inactivation,Streptomyces sp. WAC 01438,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
135,SME-5,protein homolog model,3002383,SME-5,Beta-lactamase,carbapenem,antibiotic inactivation,Serratia marcescens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
136,CMY-9,protein homolog model,3002020,CMY-9,Beta-lactamase,cephalosporin,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
137,APH(2'')-Ie,protein homolog model,3002634,APH(2'')-Ie,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Enterococcus casseliflavus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
139,QnrB10,protein homolog model,3002724,QnrB10,Beta-lactamase,fluoroquinolone antibiotic,antibiotic target protection,Citrobacter freundii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
140,AAC(6')-IIb,protein homolog model,3002595,AAC(6')-IIb,Beta-lactamase,aminoglycoside antibiotic,antibiotic inactivation,Pseudomonas fluorescens,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
143,cphA7,protein homolog model,3003103,cphA7,Beta-lactamase,carbapenem,antibiotic inactivation,Aeromonas jandaei,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
144,IMP-12,protein homolog model,3002203,IMP-12,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Pseudomonas putida,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
