model_id,model_name,model_type,aro_accession,aro_name,target_resistance_family,drug_classes,resistance_mechanisms,reference_taxa,n_model_sequences,has_snp_data,source,source_url,card_version
3853,PDC-14,protein homolog model,3005127,PDC-14,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3854,PDC-47,protein homolog model,3005128,PDC-47,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3855,PDC-51,protein homolog model,3005129,PDC-51,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3856,OXA-846,protein homolog model,3005130,OXA-846,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3857,NDM-29,protein homolog model,3005131,NDM-29,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3858,PDC-11,protein homolog model,3005132,PDC-11,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3859,PDC-62,protein homolog model,3005133,PDC-62,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3860,PDC-43,protein homolog model,3005134,PDC-43,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3861,PDC-54,protein homolog model,3005135,PDC-54,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3862,OXA-906,protein homolog model,3005136,OXA-906,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3863,PDC-59,protein homolog model,3005137,PDC-59,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3864,OXA-850,protein homolog model,3005138,OXA-850,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3865,PDC-67,protein homolog model,3005139,PDC-67,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3866,PDC-56,protein homolog model,3005140,PDC-56,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3867,PDC-52,protein homolog model,3005141,PDC-52,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3868,PDC-44,protein homolog model,3005142,PDC-44,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3869,PDC-240,protein homolog model,3005143,PDC-240,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4235,ADC-167,protein homolog model,3006339,ADC-167,Beta-lactamase,cephalosporin,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3870,PDC-61,protein homolog model,3005144,PDC-61,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3871,PDC-45,protein homolog model,3005145,PDC-45,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3872,PDC-49,protein homolog model,3005146,PDC-49,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3873,PDC-50,protein homolog model,3005147,PDC-50,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3874,PDC-48,protein homolog model,3005148,PDC-48,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3875,PAC-1,protein homolog model,3005150,PAC-1,Beta-lactamase,cephalosporin,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3876,PDC-53,protein homolog model,3005151,PDC-53,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3877,PDC-72,protein homolog model,3005152,PDC-72,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3878,PDC-69,protein homolog model,3005153,PDC-69,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3991,TEM-228,protein homolog model,3005259,TEM-228,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Neisseria gonorrhoeae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
3880,PDC-23,protein homolog model,3005155,PDC-23,Beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,Pseudomonas aeruginosa,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
