compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
OX-11,LpxH,0.1553398058252427,0.1511066327826675,0.6,CHEMBL3745885,6.2,630.0,CHEMBL5855,E. coli,252,0.1545454545454545,0,0
OX-11,MurA,0.1530612244897959,0.1422086044607575,0.5542168674698795,CHEMBL5219585,4.96,11000.0,CHEMBL1984,E. coli,94,0.144578313253012,0,0
OX-11,DHPS,0.1489361702127659,0.1280500808838722,0.6666666666666666,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.1326530612244898,0,0
OX-11,DHFR,0.1348314606741573,0.1297898071562032,0.4810126582278481,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.1290322580645161,0,0
OX-11,PBP2a,0.125,0.1069311001835273,0.4395604395604395,CHEMBL121924,4.82,15000.0,CHEMBL2549,S. aureus PBP4,17,0.1067961165048543,0,0
OX-11,FabH,0.1182795698924731,0.0967046334662897,0.3506493506493506,CHEMBL370931,5.62,2400.0,CHEMBL3822,H. influenzae,6,0.1145833333333333,0,0
T2Z14,MurC,0.2413793103448276,0.2225886931621324,0.7439024390243902,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.2293577981651376,0,0
T2Z14,LpxC,0.22,0.2103447874199184,0.5104166666666666,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.21,0,0
T2Z14,GyrB,0.2,0.1896636849039595,0.6883116883116883,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.1929824561403508,0,0
T2Z14,LpxA,0.1909090909090909,0.1909090909090909,0.6172839506172839,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
T2Z14,Gyr,0.1858407079646017,0.1700444633591045,0.691358024691358,CHEMBL6078265,8.11,7.8,CHEMBL2094139,E. coli complex,600,0.1782178217821782,0,0
T2Z14,MurA,0.1858407079646017,0.1514148097379957,0.5402298850574713,CHEMBL5220784,4.68,21000.0,CHEMBL1984,E. coli,94,0.1485148514851485,0,0
T2Z14,FabI,0.1743119266055046,0.1688334333914077,0.6133333333333333,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.1711711711711711,0,0
T2Z14,LpxH,0.1578947368421052,0.1436435756297264,0.7037037037037037,CHEMBL4549667,6.0,1000.0,CHEMBL5855,E. coli,252,0.1504424778761062,0,0
T2Z14,TopoIV,0.1491228070175438,0.1401637568497515,0.5061728395061729,CHEMBL95778,7.795880017344075,16.0,CHEMBL1895,E. coli ParC,190,0.1428571428571428,0,0
T2Z14,FtsZ,0.1415929203539823,0.1377982084649596,0.4756097560975609,CHEMBL3425704,4.07,85000.0,CHEMBL3999,E. coli,67,0.1391304347826087,0,0
T2Z14,PBP2a,0.131578947368421,0.1256880733944954,0.5632183908045977,CHEMBL4745239,5.55,2800.0,CHEMBL6128,S. aureus PBP2,17,0.128440366972477,0,0
T2Z14,FabH,0.1296296296296296,0.0948368859747331,0.4878048780487805,CHEMBL4100896,5.7,2000.0,CHEMBL4914,E. coli,6,0.1018518518518518,0,0
T2Z14,DHPS,0.128440366972477,0.1243542152645208,0.5056179775280899,CHEMBL161774,5.52,3000.0,CHEMBL4032,E. coli,22,0.1262135922330097,0,0
T2Z14,DHFR,0.1214953271028037,0.1204343311210438,0.358974358974359,CHEMBL3234324,7.43,37.0,CHEMBL2329,C. albicans,232,0.1203703703703703,0,0
T2Z5,LpxC,0.2448979591836734,0.2183662402760147,0.5531914893617021,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.2142857142857142,0,0
T2Z5,MurC,0.2346938775510204,0.2231635955353015,0.6962025316455697,CHEMBL5075801,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.2244897959183673,0,0
T2Z5,GyrB,0.2277227722772277,0.2089745958424818,0.6538461538461539,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.2075471698113207,0,0
T2Z5,Gyr,0.1944444444444444,0.1682829779776709,0.6375,CHEMBL488699,7.64,23.0,CHEMBL3038482,S. aureus complex,600,0.1720430107526881,0,0
