compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier
BI-1,DHPS,0.2631578947368421,0.1986842105263158,0.696969696969697,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.2,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.2966507177033492,0.26374269005847956,0.8528138528138529,0.0,0.3421831092883724,1.0,low
BI-6,DHPS,0.2469135802469135,0.1940585179411455,0.7121212121212122,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.1860465116279069,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.2671156004489336,0.2534633732025456,0.8744588744588746,0.0,0.32809247469393443,1.0,low
OX-11,DHPS,0.1489361702127659,0.1280500808838722,0.6666666666666666,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.1326530612244898,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.0889748549323016,0.10677795751971601,0.8095238095238095,0.0,0.19261048827465121,1.0,low
T2Z14,DHPS,0.128440366972477,0.1243542152645208,0.5529411764705883,CHEMBL161774,5.52,3000.0,CHEMBL4032,E. coli,22,0.1262135922330097,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.05170975813177633,0.09856492281004621,0.6470588235294119,0.0,0.1475549332978115,1.0,low
T2Z5,DHPS,0.1346153846153846,0.1297474714812895,0.5783132530120482,CHEMBL159046,5.54,2900.0,CHEMBL4032,E. coli,22,0.134020618556701,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.06293706293706292,0.1105499366250878,0.6833046471600689,0.0,0.16160171269881374,1.0,low
T2Z6,DHPS,0.1808510638297872,0.1442535888602492,0.5783132530120482,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.1443298969072164,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.14700193423597668,0.142785753022776,0.6833046471600689,0.0,0.21169310244769268,1.0,low
T2Z9,DHPS,0.1553398058252427,0.1319987530061458,0.5568181818181818,CHEMBL422884,6.0,1000.0,CHEMBL4032,E. coli,22,0.128440366972477,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.10061782877316854,0.11555278445810177,0.6525974025974026,0.0,0.17708672089072008,1.0,low
X1V11,DHPS,0.2307692307692307,0.2065505508589963,0.734375,CHEMBL158792,5.6,2500.0,CHEMBL4032,E. coli,22,0.2105263157894736,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.2377622377622376,0.28122344635332513,0.9062500000000001,0.0,0.3251244804694501,1.0,low
X1V19,DHPS,0.1969696969696969,0.166558371436767,0.8392857142857143,CHEMBL437,5.6,2500.0,CHEMBL4032,E. coli,22,0.1851851851851851,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.17630853994490345,0.19235193652614888,1.0,0.0,0.28624225410398896,1.0,low
X1V20,DHPS,0.2153846153846154,0.1715919514090245,0.8245614035087719,CHEMBL437,5.6,2500.0,CHEMBL4032,E. coli,22,0.1707317073170731,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.2097902097902098,0.20353766979783222,1.0,0.0,0.30577952234456296,1.0,low
