compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
BI-6,FabI,0.19540229885057472,0.1821013863020578,0.5735294117647058,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.1836734693877551,0,0
OX-11,FabI,0.19791666666666666,0.18979440719897542,0.7012987012987013,CHEMBL45433,6.03,940.0,CHEMBL3994,S. aureus,331,0.19607843137254902,0,0
T2Z14,FabI,0.1743119266055046,0.16883343339140774,0.7051282051282052,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.17117117117117117,0,0
T2Z5,FabI,0.17647058823529413,0.16951401979761285,0.6578947368421053,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.17475728155339806,0,0
T2Z6,FabI,0.17647058823529413,0.17054295698708022,0.6438356164383562,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.17475728155339806,0,0
T2Z9,FabI,0.2,0.1881233671988389,0.7051282051282052,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0
X1V11,FabI,0.2463768115942029,0.20820193668457695,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.20588235294117646,0,0
X1V19,FabI,0.2112676056338028,0.1732805166676757,0.4666666666666667,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.1780821917808219,0,0
X1V20,FabI,0.21794871794871795,0.2009586574474215,0.4939759036144578,CHEMBL3623407,5.69,2040.0,CHEMBL3994,S. aureus,331,0.2125,0,0
X1V26,FabI,0.22857142857142856,0.20050072219547427,0.618421052631579,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.208955223880597,0,0
